username, created_at, lng, lat, text
MrJNiceWatch, Fri Apr 17 03:42:11 +0000 2020, -80.843333, 35.226944, PLEASE understand that I don’t work for the government or the IRS. Tax Professionals has nothing to do with the Sti… https://t.co/JT5qkY8EDo 
DavidSaidSo, Fri Apr 17 03:42:15 +0000 2020, -119.025163, 35.346902, @Ddking5556 Stimulus money is only for registered Republicans 😁🇺🇸👍 #MAGA 
lalamary45, Fri Apr 17 03:42:22 +0000 2020, -81.765206, 30.144644, @pulte Absolutely I would  I got tons of teammates needing help and no stimulus yet!!! https://t.co/d76xk6FUHw 
PatrioticGirl71, Fri Apr 17 03:43:01 +0000 2020, -87.204659, 30.454791, My husband has been waiting for 3 weeks now for his Unemployment.They keep saying the system is down . PLEASE FIX… https://t.co/1ty9l3pW2a 
aleciaalexander, Fri Apr 17 03:43:21 +0000 2020, -95.446486, 29.838495, @RealMattCouch If they fix the crap IRS so I get my stimulus money to tide me over, I can live with it. 
murrminks, Fri Apr 17 03:43:24 +0000 2020, -122.228685, 37.791994, I ended up splitting the money up into 3 so I could try to help more people. The replies in here broke my heart,… https://t.co/5zbqksYNnZ 
coopfromthe620, Fri Apr 17 03:43:26 +0000 2020, -95.263313, 37.342590, y’all are really pressed over these stimulus checks 🤣🤣🤦🏻‍♂️ 
MyGreenKC, Fri Apr 17 03:43:27 +0000 2020, -98.319925, 38.498196, @POTUS thank you for the stimulus and getting us on a path to opening. Here is what we are paying for - good call… https://t.co/vAILhxRyLc 
BrooklynMadison, Fri Apr 17 03:43:27 +0000 2020, -117.905645, 33.663609, Who’s giving me their stimulus check? Dm me now! 👑👑👑 
omfgjeffgoldmen, Fri Apr 17 03:43:45 +0000 2020, -88.142512, 41.519556, To the nigga who finessed me out my stimulus check.. 
JosephFattarus1, Fri Apr 17 03:44:37 +0000 2020, -81.823177, 26.622149, You know Julia you're not only a liar but a koolaid drinker. You must work for Commerce bank or the government. No… https://t.co/AvbmLpFXv4 
PatrioticGirl71, Fri Apr 17 03:45:13 +0000 2020, -87.204659, 30.454791, @GovRonDeSantis My husband has been waiting for 3 weeks now for his Unemployment.They keep saying the system is do… https://t.co/n4xSvBinHK 
8cero9, Fri Apr 17 03:45:27 +0000 2020, -73.968542, 40.780709, So now we gotta wear masks??... but businesses have duplicated and in some cases tripled the prices? I feel like I need more “stimulus” 😭 
Benedic49806225, Fri Apr 17 03:45:55 +0000 2020, 0.314300, 61.304725, @realDonaldTrump any truth to this? https://t.co/eHt4xMAPLv 
carisa_, Fri Apr 17 03:46:18 +0000 2020, -117.462698, 34.108160, Jeff Bezos should give out stimulus checks since everyone spends their money at Amazon anyway lol 
JeremyScott100, Fri Apr 17 03:46:27 +0000 2020, -117.782360, 33.689732, @RealOCEmily @onepeloton I’m still waiting for @vgunvalson to tell me whether or not I should spend my stimulus check on a @onepeloton 
gardigras, Fri Apr 17 03:46:53 +0000 2020, -87.732013, 41.833585, honestly kinda wish the government just ordered us two $5.99 two topping pizzas from dominoes instead of giving us… https://t.co/YNfxbBv2QK 
TinaSmi43212544, Fri Apr 17 03:47:02 +0000 2020, -115.223125, 36.232915, Stimulus checks will not affect your public assistance? https://t.co/AWkD1M71Sl 
bella_jonny_des, Fri Apr 17 03:47:39 +0000 2020, -72.816802, 41.456581, @RatedRBliss For me hard I do landscaping for a living which is essential and I do shopping  for instacart I’m cons… https://t.co/YCGkf9JHB3 
BRAZYVIRGO, Fri Apr 17 03:47:46 +0000 2020, -94.731341, 32.503280, “Where is my stimulus check?” I’m cackling so mf loud rngdsxgff 
kyle_petreycik, Fri Apr 17 03:47:48 +0000 2020, -73.948775, 40.655138, @shoegameheavy https://t.co/dqRRXjlnXn 
joshuaswilliams, Fri Apr 17 03:47:49 +0000 2020, -83.804475, 27.698682, You HAVE to be kidding me. 
elcorridodeanna, Fri Apr 17 03:47:49 +0000 2020, -96.761753, 32.819858, where's my stimulus check??? I'm tired of being broke!!! 😭 
TinaSmi43212544, Fri Apr 17 03:48:01 +0000 2020, -115.223125, 36.232915, USAA will stop seizing troops stimulus check https://t.co/3EIdNOu5Bc 
DatSnoopyNique, Fri Apr 17 03:48:05 +0000 2020, -77.090869, 38.817380, HERE IT IS!!!! 
dafrgama, Fri Apr 17 03:49:08 +0000 2020, 113.419725, 22.869936, Absolute death cult nation lmao 
ScottSparr, Fri Apr 17 03:49:24 +0000 2020, -95.834958, 41.247487, @gamespite @Fangamer There goes my stimulus money...If I ever get it. 
Miss_Tyz, Fri Apr 17 03:49:44 +0000 2020, -96.439486, 32.737248, Petition for college students claimed as dependents by their parents to receive a stimulus check https://t.co/Z6ygMxvaEI 
TinaSmi43212544, Fri Apr 17 03:49:51 +0000 2020, -115.223125, 36.232915, USAA  grabbing  coronavirus checks from troops https://t.co/Bg4rAdMXiM 
GigiNSavannah, Fri Apr 17 03:50:28 +0000 2020, -77.604684, 41.117936, @h3h3productions @AllStarGiving Been trying to get u to see me for a few days now single mother in desperate need d… https://t.co/fnqk9W0nd6 
asiral03, Fri Apr 17 03:50:54 +0000 2020, -149.758794, 61.235042, why u worrying bout where &amp; what i spend my stimulus check on. lolol weirdos 
The_Para_Panda, Fri Apr 17 03:50:54 +0000 2020, -73.032803, 41.279557, Some of y’all talking about issuing your stimulus money to pay the taxes on your whip. And some of y’all don’t kno… https://t.co/BaI1H3clTW 
imBatmanUd, Fri Apr 17 03:50:58 +0000 2020, 76.974691, 28.368525, Wow, no wonder everyone wants to go to #America. But seriously these numbers are pure crazy. 
Rx_Qu33n, Fri Apr 17 03:51:43 +0000 2020, -118.125196, 34.583629, my OfferUp is lit rn thanks to those stimulus checks lmao 
GigiNSavannah, Fri Apr 17 03:51:59 +0000 2020, -77.604684, 41.117936, @h3h3productions Been trying to get u to see me for a few days now single mother in desperate need didn't get unemp… https://t.co/Axc0zcpRfl 
gardigras, Fri Apr 17 03:52:03 +0000 2020, -87.732013, 41.833585, can’t wait to look back on this tweet in a few years and thinking about how Absolutely Messed Up Being Alive in 202… https://t.co/3FgloJCFeG 
Fiveoutof8, Fri Apr 17 03:52:32 +0000 2020, -84.314792, 33.706392, God definitely doing his thing 🙌🏾🙏🏾 
GigiNSavannah, Fri Apr 17 03:52:32 +0000 2020, -77.604684, 41.117936, @h3h3productions @JonasNydn @OmarVelazquezM @grieves_taylor Been trying to get u to see me for a few days now singl… https://t.co/cS6mqu0IKt 
nerdyteacher, Fri Apr 17 03:52:39 +0000 2020, -96.053431, 41.275721, So that’s why! I’m bummed, as I’ve used @HRBlock for over a decade. Welp. Is it 2021 yet? 
GigiNSavannah, Fri Apr 17 03:52:43 +0000 2020, -77.604684, 41.117936, @h3h3productions @grieves_taylor Been trying to get u to see me for a few days now single mother in desperate need… https://t.co/xdp1qJZYrz 
YDeyvison, Fri Apr 17 03:52:54 +0000 2020, -36.745367, -8.430457, Tem uma casa ali atrás da rodoviária que é fina assim igual esse prédio 
GigiNSavannah, Fri Apr 17 03:52:54 +0000 2020, -77.604684, 41.117936, @h3h3productions @OmarVelazquezM @grieves_taylor @JonasNydn Been trying to get u to see me for a few days now singl… https://t.co/QKtiuN4w0y 
explicitxsmiles, Fri Apr 17 03:53:06 +0000 2020, -90.769941, 34.773783, Siri, find that man’s stimulus check🤣🗣 
hollyderusha, Fri Apr 17 03:53:14 +0000 2020, -70.292545, 43.696187, I FaceTimed my parents tonight to ask them a very serious question. It turns out I will in fact be receiving a stim… https://t.co/AXW1QDhVDL 
C0daylee, Fri Apr 17 03:53:22 +0000 2020, -87.574691, 38.003467, That stimulus check tree smoke different 
hard2xplain, Fri Apr 17 03:53:31 +0000 2020, -76.848068, 39.065006, Way over!!! Put a few stacks on the over!! @OTR_Mike @bigLAmiami71 
Ed_dones, Fri Apr 17 03:53:33 +0000 2020, -87.732013, 41.833585, 😂 
dynamic_deno, Fri Apr 17 03:53:34 +0000 2020, -86.680738, 32.576227, $DollaMenuDeno 
JohnJohnhoyle1, Fri Apr 17 03:55:26 +0000 2020, -79.861034, 35.170499, @SRuhle my 20 yoa son who is a full time student and works part time while I pay for college. Will he get a stimulu… https://t.co/Y0q8XefROM 
_nickmartinez__, Fri Apr 17 03:55:45 +0000 2020, -80.334528, 25.747635, If not more 
jakefrommyspace, Fri Apr 17 03:55:50 +0000 2020, -73.968542, 40.780709, Medium size wind blowing the whole bitch down 
amezaing_, Fri Apr 17 03:56:11 +0000 2020, -85.722346, 38.195555, Yes undocumented people deserve a stimulus check &amp; no it’s not radical that I don’t want people to starve to death 
LEM0NHAZE, Fri Apr 17 03:56:14 +0000 2020, -79.420865, 38.003376, Glitches? I’m confused lol. 
moemoe8120, Fri Apr 17 03:56:32 +0000 2020, -84.649088, 44.317065, Omg...we need this investigated!!!! 
TinaSmi43212544, Fri Apr 17 03:57:04 +0000 2020, -115.223125, 36.232915, VA Treasury  working on stimulus checks for veterans https://t.co/FI5r2ATmm7 
